,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,2.3293172690763053,65.0,8450,1.4266958424507659,,1.0,1.1685796269727404,1.1854545454545455,1.0,1.0,2.2409090909090907,1.3927227101631117,1.689922480620155,1.3168627450980392,1.7078651685393258,7,5,2003,2003,1.1510791366906474,1.1824817518248176,2.816901408450704,1.9054333333333333,1.3021582733812949,196.0,2.674772036474164,2.187843137254902,1.9683149303888623,1.7149107142857143,2.578125,1.0,1.5377697841726619,706,1.167832167832168,0,150,856,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,856,854,0,1710,1,0,2,1,3,1,1.751304347826087,8,1.9470588235294117,0,,1.712962962962963,2003.0,1.4074074074074074,2,548,1.761658031088083,1.5740740740740742,1.518018018018018,0,61,0,0,0,0,,,,0,2,2008,1.3614821197759586,1.5384615384615385,208500
1,2,20,2.3293172690763053,80.0,9600,1.4266958424507659,,1.0,1.1685796269727404,1.1854545454545455,1.0332034001784625,1.0,2.477272727272727,1.1710581346716855,1.689922480620155,1.3168627450980392,1.3910112359550562,6,8,1976,1976,1.1510791366906474,1.1824817518248176,1.9577464788732395,1.3214285714285714,1.0287769784172662,0.0,1.6954407294832827,2.187843137254902,1.3586173787806048,1.7149107142857143,2.578125,1.4738636363636364,1.0737410071942446,978,1.167832167832168,0,284,1262,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,1262,0,0,1262,0,1,2,0,3,1,1.191304347826087,6,1.9470588235294117,1,1.4258555133079849,1.712962962962963,1976.0,1.4074074074074074,2,460,1.761658031088083,1.5740740740740742,1.518018018018018,298,0,0,0,0,0,,,,0,5,2007,1.3614821197759586,1.5384615384615385,181500
2,3,60,2.3293172690763053,68.0,11250,1.4266958424507659,,1.2945205479452055,1.1685796269727404,1.1854545454545455,1.0,1.0,2.2409090909090907,1.3927227101631117,1.689922480620155,1.3168627450980392,1.7078651685393258,7,5,2001,2002,1.1510791366906474,1.1824817518248176,2.816901408450704,1.9054333333333333,1.3021582733812949,162.0,2.674772036474164,2.187843137254902,1.9683149303888623,1.7149107142857143,2.578125,1.1847402597402596,1.5377697841726619,486,1.167832167832168,0,434,920,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,920,866,0,1786,1,0,2,1,3,1,1.751304347826087,6,1.9470588235294117,1,1.4258555133079849,1.712962962962963,2001.0,1.4074074074074074,2,608,1.761658031088083,1.5740740740740742,1.518018018018018,0,42,0,0,0,0,,,,0,9,2008,1.3614821197759586,1.5384615384615385,223500
3,4,70,2.3293172690763053,60.0,9550,1.4266958424507659,,1.2945205479452055,1.1685796269727404,1.1854545454545455,1.0018942062336604,1.0,2.279818181818182,1.3927227101631117,1.689922480620155,1.3168627450980392,1.7078651685393258,7,5,1915,1970,1.1510791366906474,1.1824817518248176,1.9569507042253522,1.3164285714285715,1.0287769784172662,0.0,1.6954407294832827,2.187843137254902,1.2025924147863658,1.2098214285714286,3.029359375,1.0,1.0737410071942446,216,1.167832167832168,0,540,756,2.268965517241379,1.7471264367816093,1.7142857142857142,2.537313432835821,961,756,0,1717,1,0,1,0,3,1,1.751304347826087,7,1.9470588235294117,1,1.573764258555133,1.1990740740740742,1998.0,1.0,3,642,1.761658031088083,1.5740740740740742,1.518018018018018,0,35,272,0,0,0,,,,0,2,2006,1.3614821197759586,1.25,140000
4,5,60,2.3293172690763053,84.0,14260,1.4266958424507659,,1.2945205479452055,1.1685796269727404,1.1854545454545455,1.0332034001784625,1.0,3.4261363636363638,1.3927227101631117,1.689922480620155,1.3168627450980392,1.7078651685393258,8,5,2000,2000,1.1510791366906474,1.1824817518248176,2.816901408450704,1.9054333333333333,1.3021582733812949,350.0,2.674772036474164,2.187843137254902,1.9683149303888623,1.7149107142857143,2.578125,1.2068181818181818,1.5377697841726619,655,1.167832167832168,0,490,1145,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,1145,1053,0,2198,1,0,2,1,4,1,1.751304347826087,9,1.9470588235294117,1,1.4258555133079849,1.712962962962963,2000.0,1.4074074074074074,3,836,1.761658031088083,1.5740740740740742,1.518018018018018,192,84,0,0,0,0,,,,0,12,2008,1.3614821197759586,1.5384615384615385,250000
5,6,50,2.3293172690763053,85.0,14115,1.4266958424507659,,1.2945205479452055,1.1685796269727404,1.1854545454545455,1.0,1.0,1.7443181818181819,1.3927227101631117,1.689922480620155,1.3168627450980392,1.1865168539325843,5,5,1993,1995,1.1510791366906474,1.1824817518248176,2.816901408450704,1.9054333333333333,1.0287769784172662,0.0,1.6954407294832827,2.187843137254902,1.5746519443110898,1.7149107142857143,2.578125,1.0,1.5377697841726619,732,1.167832167832168,0,64,796,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,796,566,0,1362,1,0,1,1,1,1,1.191304347826087,5,1.9470588235294117,0,,1.712962962962963,1993.0,1.0,2,480,1.761658031088083,1.5740740740740742,1.518018018018018,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,1.3614821197759586,1.5384615384615385,143000
6,7,20,2.3293172690763053,75.0,10084,1.4266958424507659,,1.0,1.1685796269727404,1.1854545454545455,1.0,1.0,2.5625,1.3927227101631117,1.689922480620155,1.3168627450980392,1.3910112359550562,8,5,2004,2005,1.1510791366906474,1.1824817518248176,2.816901408450704,1.9054333333333333,1.7758201438848922,186.0,2.674772036474164,2.187843137254902,1.9683149303888623,2.8392857142857144,2.578125,1.2068181818181818,1.5377697841726619,1369,1.167832167832168,0,317,1686,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,1694,0,0,1694,1,0,2,0,3,1,1.751304347826087,7,1.9470588235294117,1,1.573764258555133,1.712962962962963,2004.0,1.4074074074074074,2,636,1.761658031088083,1.5740740740740742,1.518018018018018,255,57,0,0,0,0,,,,0,8,2007,1.3614821197759586,1.5384615384615385,307000
7,8,60,2.3293172690763053,,10382,1.4266958424507659,,1.2945205479452055,1.1685796269727404,1.1854545454545455,1.0018942062336604,1.0,2.078409090909091,1.6729401923881222,1.689922480620155,1.3168627450980392,1.7078651685393258,7,6,1973,1973,1.1510791366906474,1.1824817518248176,2.111267605633803,1.4761904761904763,1.7758201438848922,240.0,1.6954407294832827,2.187843137254902,1.3586173787806048,1.7149107142857143,2.578125,1.1847402597402596,1.0737410071942446,859,1.0,32,216,1107,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,1107,983,0,2090,1,0,2,1,3,1,1.191304347826087,7,1.9470588235294117,2,1.4258555133079849,1.712962962962963,1973.0,1.4074074074074074,2,484,1.761658031088083,1.5740740740740742,1.518018018018018,235,204,228,0,0,0,,,Shed,350,11,2009,1.3614821197759586,1.5384615384615385,200000
8,9,50,1.6131191432396252,51.0,6120,1.4266958424507659,,1.0,1.1685796269727404,1.1854545454545455,1.0,1.0,1.3522727272727273,1.0,1.689922480620155,1.3168627450980392,1.1865168539325843,7,5,1931,1950,1.1510791366906474,1.1824817518248176,2.334507042253521,1.3164285714285715,1.0287769784172662,0.0,1.6954407294832827,2.187843137254902,1.2025924147863658,1.2098214285714286,2.578125,1.0,1.1636690647482015,0,1.167832167832168,0,952,952,2.268965517241379,1.7471264367816093,1.7142857142857142,1.7164179104477613,1022,752,0,1774,0,0,2,0,2,2,1.191304347826087,8,1.6352941176470588,2,1.4258555133079849,1.1990740740740742,1931.0,1.0,2,468,1.1917098445595855,1.5740740740740742,1.518018018018018,90,0,205,0,0,0,,,,0,4,2008,1.3614821197759586,1.25,129900
9,10,190,2.3293172690763053,50.0,7420,1.4266958424507659,,1.0,1.1685796269727404,1.1854545454545455,1.0018942062336604,1.0,1.4125,1.0,1.1007751937984496,1.0,1.0,5,6,1939,1950,1.1510791366906474,1.1824817518248176,1.9577464788732395,1.3214285714285714,1.0287769784172662,0.0,1.6954407294832827,2.187843137254902,1.2025924147863658,1.2098214285714286,2.578125,1.0,1.5377697841726619,851,1.167832167832168,0,140,991,2.268965517241379,2.2379310344827585,1.7142857142857142,2.537313432835821,1077,0,0,1077,1,0,1,0,2,2,1.191304347826087,5,1.9470588235294117,2,1.4258555133079849,1.712962962962963,1939.0,1.4074074074074074,1,205,2.16699481865285,1.5740740740740742,1.518018018018018,0,4,0,0,0,0,,,,0,1,2008,1.3614821197759586,1.5384615384615385,118000
